RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,B3SAT515,BRB3SA3T02S0,EQUITY PUT,"0,15","0,2","0,19","0,2",,"0,13",19,143000,50.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT528,BRB3SA3T0530,EQUITY PUT,"0,21","0,21","0,21","0,21",,"0,23",1,200,52.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT533,BRB3SA3T04Z1,EQUITY PUT,"0,21","0,3","0,26","0,3",,"0,26",4,800,53.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT538,BRB3SA3T04P2,EQUITY PUT,"0,23","0,23","0,23","0,23",,"0,29",1,1500,53.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT543,BRB3SA3T04W8,EQUITY PUT,"0,36","0,36","0,36","0,36",,"0,32",1,9000,54.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT548,BRB3SA3T04Q0,EQUITY PUT,"0,31","0,41","0,31","0,41",,"0,36",7,42200,54.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT553,BRB3SA3T0506,EQUITY PUT,"0,34","0,34","0,34","0,34",,"0,41",1,5000,55.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT563,BRB3SA3T04U2,EQUITY PUT,"0,33","0,55","0,44","0,54",,"0,5",24,107300,56.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT565,BRB3SA3T02T8,EQUITY PUT,"0,37","0,49","0,38","0,49",,"0,45",3,2100,55.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT568,BRB3SA3T04X6,EQUITY PUT,"0,49","0,59","0,54","0,59",,"0,55",2,400,56.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT573,BRB3SA3T0555,EQUITY PUT,"0,38","0,62","0,39","0,62",,"0,61",8,102100,57.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT580,BRB3SA3T05B9,EQUITY PUT,"0,54","0,79","0,56","0,79",,"0,75",7,27000,58.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT585,BRB3SA3T02W2,EQUITY PUT,"0,45","0,66","0,53","0,66",,"0,68",13,2000,57.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT588,BRB3SA3T0597,EQUITY PUT,"0,54","0,88","0,77","0,87",,"0,83",20,11200,58.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT590,BRB3SA3T05F0,EQUITY PUT,"0,67","0,96","0,69","0,96",,"0,91",3,11100,59.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT598,BRB3SA3T0589,EQUITY PUT,"0,68","1,12","1,02","1,1",,1,17,50200,59.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT602,BRB3SA3T05Q7,EQUITY PUT,"0,72","1,2","0,82","1,18",,"1,1",21,43700,60.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT608,BRB3SA3T0571,EQUITY PUT,"0,87","1,34","0,92","1,29",,"1,22",15,54000,60.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT612,BRB3SA3T05M6,EQUITY PUT,"0,84","1,5","1,23","1,43",,"1,34",19,53200,61.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT618,BRB3SA3T05A1,EQUITY PUT,"1,05","1,55","1,44","1,55",,"1,47",15,15200,61.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT622,BRB3SA3T05O2,EQUITY PUT,"1,1","1,8","1,67","1,69",,"1,61",6,12900,62.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT627,BRB3SA3T05C7,EQUITY PUT,"1,33","1,9","1,6","1,88",,"1,77",8,4600,62.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT632,BRB3SA3T05L8,EQUITY PUT,"1,34","2,12","1,41","2,1",,"1,94",12,26400,63.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT637,BRB3SA3T05G8,EQUITY PUT,"1,5","1,65","1,61","1,65",,"2,12",3,13200,63.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT642,BRB3SA3T05I4,EQUITY PUT,"1,6","2,49","1,98","2,45",,"2,31",26,57800,64.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT647,BRB3SA3T05H6,EQUITY PUT,"1,73","2,68","2,06","2,68",,"2,52",29,164300,64.77,B3SA3,2020-08-17,EURO,0.0
